L,Ef,COCOMO,ANN,GA,Hybrid
2.2,8.4,24.15,13.65,8.95,6.32
3.5,10.8,3.95,5.26,4.69,1.13
5.5,18,7.36,5.21,6.75,4.35
6,24,58.88,34.10,27.63,28.02
9.7,25.2,20.05,11.50,13.49,7.61
7.7,31.2,23.91,12.35,7.54,12.42
11.3,36,30.83,17.45,12.45,13.35
8.2,36,29.55,16.68,14.23,11.21
6.5,42,28.32,18.52,11.64,13.42
8,42,22.22,13.21,15.47,9.34
20,48,27.21,14.65,16.32,12.16
10,48,41.66,23.98,19.84,19.84
15,48,46.19,28.04,23.11,26.74
10.4,50,34.90,25.47,17.02,21.95
13,60,9.36,6.53,5.31,7.15
14,60,25.88,15.41,17.54,8.46
19.7,60,6.10,7.21,4.21,2.54
32.5,60,93.91,47.35,56.47,36.10
31.5,60,3.81,6.52,5.46,1.07
12.5,62,27.96,13.11,10.84,4.31
15.4,70,22.51,10.13,12.76,7.02
20,72,60.76,45.68,33.82,27.11
7.5,72,41.75,32.61,24.15,15.04
16.3,82,29.79,23.40,17.37,7.46
15,90,39.54,27.68,21.51,19.01
11.4,98.8,42.04,25.10,19.07,21.74
21,107,36.75,24.55,16.53,9.02
16,114,34.48,24.55,16.53,9.92
25.9,117.6,27.85,19.36,11.57,17.09
24.6,117.6,31.65,21.87,16.34,14.82
29.5,120,18.94,11.15,7.13,6.44
19.3,155,35.78,17.30,21.06,16.72
32.6,170,29.88,19.54,15.19,5.68
35.5,192,32.10,16.35,8.37,13.06
38,210,28.46,13.19,19.50,15.43
48.5,239,24.31,8.43,12.07,7.94
47.5,252,37.81,21.36,18.64,11.83
70,278,21.28,9.42,11.46,6.24
66.6,300,23.76,11.30,16.79,9.22
66.6,352.8,35.17,19.25,11.20,13.62
50,370,36.90,23.54,13.48,7.42
79,400,45.74,31.29,22.97,18.06
90,450,38.29,20.11,31.73,15.94
78,571.4,24.50,13.64,8.03,5.21
100,215,120.66,86.14,61.42,51.04
150,324,49.50,26.80,13.09,23.83
100,360,44.97,17.67,25.07,12.62
100,360,15.85,6.23,8.62,9.84
190,420,1.89,4.87,3.84,2.65
115.8,480,11.37,16.49,5.32,5.42
101,750,19.87,10.67,6.46,12.71
161.1,815,4.76,10.25,8.41,5.95
284.7,973,38.36,21.43,17.09,10.14
227,1181,3.93,2.36,6.31,4.62
177.9,1228,3.64,9.84,5.08,2.06
282.1,1368,17.21,9.46,11.36,7.92
219,2120,29.00,21.03,15.81,8.31
423,2300,25.78,16.07,7.44,9.02
302,2400,0.46,3.24,5.64,2.54
370,3240,25.21,8.62,3.21,6.87
